"Iterms";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2016"
"Iterms";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2016"
"income_quintile_quintile_1";"90.9";"94.5";"96.1";"96.6";"93.9";"97.8";"98.7";"98.5"
"income_quintile_quintile_2";"96.3";"98.9";"99.1";"99";"98.7";"99.7";"99.9";"99.8"
"income_quintile_quintile_3";"97.9";"99.3";"99.5";"99.5";"99.6";"99.8";"99.9";"99.9"
"income_quintile_quintile_4";"98.8";"99.6";"99.9";"99.7";"99.6";"99.8";"99.9";"99.9"
"income_quintile_quintile_5";"99.4";"99.8";"99.9";"99.8";"99.8";"99.9";"100";"100"
