"Iterms";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2016"
"Iterms";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2016"
"urban";"98.9";"99.5";"99.8";"99.6";"99.2";"99.8";"99.9";"99.9"
"rural";"96.2";"98.2";"98.7";"98.7";"98.1";"99.3";"99.6";"99.6"
