"Residence.and.by.region";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2016"
"Residence.and.by.region";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2016"
"urban";"98.2";"99";"99.1";"99.6";"99.6";"99.8";"99.8";"100"
"rural";"82.7";"91.6";"94.9";"96.8";"96.2";"96.6";"97.6";"98.3"
