"Iterms";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2016"
"Iterms";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2016"
"whole_country";"96.9";"98.5";"99";"99";"98.4";"99.4";"99.7";"99.7"
"red_river_delta";NA;NA;NA;"99.5";"99.2";"99.7";"100";"99.9"
"northern_midlands_and_mountain_areas";NA;NA;NA;"97.2";"96.7";"98.4";"99";"99"
"north_central_area_and_central_coastal_area";NA;NA;NA;"98.6";"97.8";"99.5";"99.6";"99.7"
"central_highlands";NA;NA;NA;"98.3";"98.2";"98.4";"98.9";"98.5"
"south_east";NA;NA;NA;"99.5";"99.6";"99.9";"100";"99.9"
"mekong_river_delta";NA;NA;NA;"99.6";"98.3";"99.7";"99.9";"100"
