"Iterms";"X2010.Tota.expenditure";"X2010.Living.expenditure";"X2010.Eating.drinking...smoking.expenditure";"X2010.Non.eating.drinking...smoking.expenditure";"X2010.Others";"X2012.Tota.expenditure";"X2012.Living.expenditure";"X2012.Eating.drinking...smoking.expenditure";"X2012.Non.eating.drinking...smoking.expenditure";"X2012.Others";"X2014.Tota.expenditure";"X2014.Living.expenditure";"X2014.Eating.drinking...smoking.expenditure";"X2014.Non.eating.drinking...smoking.expenditure";"X2014.Others";"Pre..2016.Tota.expenditure";"Pre..2016.Living.expenditure";"Pre..2016.Eating.drinking...smoking.expenditure";"Pre..2016.Non.eating.drinking...smoking.expenditure";"Pre..2016.Others"
"Iterms";"X2010.Tota.expenditure";"X2010.Living.expenditure";"X2010.Eating.drinking...smoking.expenditure";"X2010.Non.eating.drinking...smoking.expenditure";"X2010.Others";"X2012.Tota.expenditure";"X2012.Living.expenditure";"X2012.Eating.drinking...smoking.expenditure";"X2012.Non.eating.drinking...smoking.expenditure";"X2012.Others";"X2014.Tota.expenditure";"X2014.Living.expenditure";"X2014.Eating.drinking...smoking.expenditure";"X2014.Non.eating.drinking...smoking.expenditure";"X2014.Others";"Pre..2016.Tota.expenditure";"Pre..2016.Living.expenditure";"Pre..2016.Eating.drinking...smoking.expenditure";"Pre..2016.Non.eating.drinking...smoking.expenditure";"Pre..2016.Others"
"whole_country";"1211";"1139";"602";"537";"72";"1603";"1503";"842";"661";"100";"1888";"1763";"927";"836";"125";"2157";"2016";"1027";"989";"141"
"red_river_delta";"1438";"1343";"697";"647";"95";"1897";"1764";"986";"778";"133";"2241";"2082";"1079";"1003";"159";"2528";"2364";"1151";"1213";"164"
"northern_midlands_and_mountain_areas";"866";"815";"483";"332";"51";"1195";"1119";"673";"446";"76";"1538";"1441";"752";"689";"97";"1655";"1551";"824";"727";"104"
"north_central_area_and_central_coastal_area";"1015";"958";"525";"433";"57";"1406";"1326";"764";"562";"80";"1647";"1537";"850";"687";"110";"1809";"1685";"918";"767";"124"
"central_highlands";"971";"915";"508";"407";"56";"1483";"1366";"749";"617";"117";"1660";"1537";"777";"760";"123";"1766";"1620";"828";"792";"146"
"south_east";"1724";"1640";"786";"854";"84";"2145";"2036";"1073";"963";"109";"2410";"2282";"1155";"1127";"128";"3018";"2846";"1415";"1431";"172"
"mekong_river_delta";"1058";"988";"538";"450";"70";"1363";"1273";"721";"552";"90";"1602";"1484";"805";"679";"118";"1872";"1741";"888";"853";"131"
