"Residence.and.by.region";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2014"
"Residence.and.by.region";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2014"
"urban";"92.2";"92.7";"96.9";"97.6";"97.7";"98.1";"98.3";"99"
"rural";"73.6";"76.7";"86.1";"89.9";"87.4";"87.9";"90.6";"90.8"
