"Iterms";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2016"
"Iterms";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2016"
"income_quintile_quintile_1";"10";"10.6";"11.8";"12.3";"13.7";"14.8";"15.2"
"income_quintile_quintile_2";"11.5";"12.3";"13.7";"14.7";"16.5";"17.9";"18.4"
"income_quintile_quintile_3";"12.9";"13.9";"15.4";"16.7";"18.4";"20.6";"20.8"
"income_quintile_quintile_4";"14.6";"15.9";"17.7";"19.8";"21";"23";"23.6"
"income_quintile_quintile_5";"18.8";"20.8";"23.1";"25.8";"27.3";"30.6";"30.7"
