"Residence.and.region";"X1999";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"X2016"
"Residence.and.region";"X1999";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"X2016"
"whole_country";"295";"356";"484";"636";"995";"1387";"2000";"2637";"3049"
"red_river_delta";"282";"358";"498";"666";"1065";"1580";"2351";"3265";"3610"
"northern_midlands_and_mountain_areas";"199";"237";"327";"442";"657";"905";"1258";"1613";"2033"
"north_central_area_and_central_coastal_area";"229";"268";"361";"476";"728";"1018";"1505";"1982";"2432"
"central_highlands";"345";"244";"390";"522";"795";"1088";"1643";"2008";"2562"
"south_east";"571";"667";"893";"1146";"1773";"2304";"3173";"4125";"4485"
"mekong_river_delta";"342";"371";"471";"628";"940";"1247";"1797";"2327";"2798"
