"Residence.and.by.region";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2016"
"Residence.and.by.region";"X2002";"X2004";"X2006";"X2008";"X2010";"X2012";"X2014";"Pre..2016"
"whole_country";"55.1";"61";"59.1";"65";"75.7";"77.4";"80.1";"83.3"
"red_river_delta";NA;NA;NA;"84.5";"89.6";"91.4";"96.4";"97.8"
"northern_midlands_and_mountain_areas";NA;NA;NA;"49.2";"60.8";"60";"61.8";"67.6"
"north_central_area_and_central_coastal_area";NA;NA;NA;"67.9";"81.9";"83";"82.2";"84"
"central_highlands";NA;NA;NA;"49.2";"62.1";"65.2";"61.9";"63.3"
"south_east";NA;NA;NA;"87.5";"92";"92.5";"95.6";"97.1"
"mekong_river_delta";NA;NA;NA;"35.2";"47.6";"53.3";"60.4";"67.3"
