"Some main goods for importation by Main goods and Year"

"Main goods";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016 (*)"
"Of  which: Kraft paper (Mill. USD)";..;..;..;..;..;50.8;43.7;55.8;53.1;37.8;47.5;47.1;57.0;55.5;52.0;265.4;256.9;49.4;59.1;60.2;69.1;..
"Medicine materials (Mill. USD)";..;..;..;..;..;58.3;59.5;73.8;90.4;99.3;118.4;131.1;188.4;198.3;234.1;997.9;1292.0;267.8;308.1;354.4;338.9;381.2
"Auxiliary materials for footwear (Mill. USD)";..;..;..;..;..;504.2;553.4;641.5;768.7;809.3;843.3;827.5;928.3;1025.7;755.0;1937.2;1610.0;1298.1;1658.3;2196.8;2426.4;5058.8
"Auxiliary materials for sewing (Mill. USD)";..;..;..;..;..;917.4;1036.2;1069.3;1264.9;1443.7;1438.7;1123.9;1224.0;1329.3;1176.9;5383.1;6791.1;1793.6;2109.9;2371.3;2581.5;..
"Textile fabrics (Mill. USD)";108.6;221.7;414.3;592.5;710.6;761.3;880.2;1523.1;1805.4;2066.6;2474.2;2947.0;3990.5;4457.8;4212.3;5383.1;6791.1;7135.5;8397.0;9560.0;10234.3;10483.3
"Auxiliary materials for cigarettes (Mill. USD)";97.0;100.2;79.9;111.3;88.3;107.6;125.6;145.4;143.4;152.3;163.5;124.3;200.5;246.2;260.0;239.5;311.7;331.4;293.0;288.7;274.4;319.4
"Vegetables oils and fats (Mill. USD)";..;..;..;..;..;89.0;86.2;145.0;166.3;244.2;192.3;256.7;482.9;662.7;492.5;698.1;955.8;747.7;692.2;758.5;681.8;701.5
"Wheat flour (Mill. USD)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10.7;8.4;9.7;9.0;..
"Wheat (Mill. USD)";..;..;..;..;..;77.8;101.3;113.5;125.7;162.8;200.6;226.3;343.4;293.1;345.7;569.7;814.2;769.9;619.5;648.8;600.9;1005.0
"Dairy produce (Mill. USD)";58.7;70.4;63.1;78.8;100.8;140.9;246.7;133.2;170.8;201.2;278.9;302.7;462.2;542.1;515.8;708.3;859.1;1016.0;1104.9;1131.2;911.3;851.9
"Medicament (Mill. USD)";69.1;206.5;340.4;312.3;262.5;325.0;328.6;349.7;399.7;427.9;507.6;570.4;714.2;834.1;1099.1;1238.8;1525.4;1792.9;1880.4;2036.3;2320.4;2562.8
"Air-conditioners (Mill. USD)";..;..;..;..;..;16.6;30.5;39.5;48.1;78.0;85.5;111.7;153.6;190.4;237.9;345.3;369.9;304.0;438.6;495.0;685.2;..
"Motorcycles (including unassembled) (Mill. USD)";458.5;472.1;247.2;383.8;502.3;787.0;634.8;422.7;328.7;452.2;541.4;557.4;725.0;759.6;755.9;890.6;832.8;637.3;566.2;391.3;367.9;418.7
"Of which: Assembled (Mill. USD)";..;..;..;..;..;0.3;1.5;1.1;38.2;39.4;65.7;76.9;145.0;141.5;134.6;123.8;93.3;70.9;46.6;69.0;..;..
"Unassembled (Mill. USD)";..;..;..;..;..;786.7;633.3;421.6;290.5;412.8;475.7;480.5;580.0;618.1;621.3;766.8;739.5;566.3;519.6;322.4;..;..
"Petroleum oils, refined (Thous. Tons)";5003.2;5933.1;5960.0;6852.0;7425.4;8747.3;9083.0;9970.5;9936.4;11047.8;11477.8;11224.6;13195.0;12959.8;13000.0;9853.0;10678.0;9200.7;7364.0;8393.0;10415.0;11753.1
"Of which";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Gasolines (Thous. Tons)";1043.5;1090.1;1081.3;1201.0;1325.0;1480.1;1731.7;2098.3;2180.3;2604.4;2630.1;2821.6;3298.6;3640.4;3678.0;1995.0;2915.0;2804.6;2323.0;2379.0;2675.6;2487.6
"Diesel oil (Thous. Tons)";2271.0;2795.5;3101.8;3526.0;3478.3;4133.2;4079.7;4434.3;4650.3;5479.6;5876.7;5671.5;6460.9;6489.1;6493.0;4940.0;5311.0;4564.5;3157.0;4089.0;5212.7;6715.6
"Mazout (Thous. Tons)";867.5;1072.5;1021.6;1321.0;1878.9;2367.6;2365.9;2582.3;2376.5;2117.9;2199.5;2012.4;2338.2;2090.7;1855.0;1766.0;1470.0;823.2;658.9;676.0;710.7;885.6
"Kerosene (Thous. Tons)";314.7;381.7;243.9;273.0;267.7;387.7;524.8;424.6;418.5;358.2;332.8;233.2;251.2;139.5;56.0;..;17.0;29.4;24.7;29.0;40.7;..
"Jet fuel (Thous. Tons)";..;..;..;..;..;225.4;259.7;335.1;310.9;425.8;438.6;458.1;515.8;586.5;656.0;833.0;964.0;979.0;1200.4;1219.9;1775.5;1538.4
"Fertilizers (Thous. Tons)";2311.0;2787.1;2526.7;3448.0;3702.8;3971.3;3288.2;3820.2;4135.1;4064.8;2915.0;3107.1;3800.1;3042.5;4521.0;3511.0;4255.0;3961.2;4675.5;3796.0;4542.7;4191.3
"Of which:";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Amonium sulphate (SA) (Thous. Tons)";..;..;..;..;..;436.4;390.0;549.0;509.0;671.1;731.8;740.4;996.9;699.2;1165.0;687.0;894.0;1156.5;1115.6;924.0;1040.5;1037.2
"Urea (Thous. Tons)";1356.2;1658.3;1480.0;1944.0;1893.0;2108.3;1652.0;1818.0;1926.0;1709.5;858.4;728.8;740.2;721.9;1426.0;985.0;1128.0;504.1;797.9;221.0;620.8;608.0
"Mixtures of nitrogen, phosphorus and potassium (Thous. Tons)";..;..;..;..;..;200.1;127.0;275.0;219.0;311.6;169.5;142.0;264.2;176.3;250.0;245.0;306.0;330.3;423.3;223.0;312.4;318.2
"Ammonium dihydrogen phosphate (Thous. Tons)";..;..;..;..;..;591.0;574.0;613.0;767.0;596.8;606.3;761.6;666.5;451.0;981.0;705.0;624.0;764.3;976.1;960.0;978.8;805.7
"Potassium chloride and sulphate (Thous. Tons)";..;..;..;..;..;411.5;483.0;517.0;662.0;696.3;456.5;571.6;810.5;733.6;491.0;666.0;951.0;837.5;1021.9;988.0;971.7;1007.5
