"Some main goods for exportation by Main goods and Year"

"Main goods";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"Fishery  products (Mill.USD)";621.4;696.5;782.0;858.0;973.6;1478.5;1816.4;2021.7;2199.6;2408.1;2732.5;3358.0;3763.4;4510.1;4255.3;5016.9;6112.4;6088.5;6692.6;7825.3;6568.8;7047.7
"Of which:";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Frozen shrimps (Mill.USD)";290.9;324.7;367.7;431.7;415.5;631.4;846.2;715.7;943.6;1084.5;1265.7;1262.8;1387.6;1315.6;1293.3;1565.5;1693.7;1547.6;2018.2;2553.8;1805.8;..
"Frozen fish (Mill.USD)";35.9;76.0;89.9;69.7;112.3;172.4;248.8;337.5;333.7;491.5;608.8;1083.4;1379.1;1968.7;1766.9;2018.4;2166.2;2130.0;2176.9;2661.7;2542.9;..
"Frozen cuttle fish (Mill.USD)";68.4;92.5;89.6;60.8;107.3;76.8;139.7;83.7;136.3;62.5;73.9;92.5;60.8;64.8;82.7;97.7;107.9;27.6;24.3;20.8;23.9;..
"Crude oil (Thous.tons)";7652.0;8705.0;9638.0;12145.0;14881.9;15423.5;16731.6;16876.0;17142.5;19500.6;17966.6;16442.0;15062.0;13752.3;13373.0;8072.0;8240.4;9251.4;8398.5;9306.2;9486.4;6847.9
"Coal (Thous.tons)";2821.0;3647.0;3454.0;3162.0;3259.0;3251.2;4291.6;6047.3;7261.9;11636.1;17987.8;29308.0;32072.0;19357.6;24992.0;19876.0;17162.7;15219.0;12802.8;7266.1;1747.7;1243.4
"Tin (Thous.tons)";3.3;3.0;2.5;2.4;2.4;3.3;2.2;1.7;2.0;1.8;..;2.5;2.3;2.5;..;..;27.5;35.1;45.3;49.4;..;..
"Pepper (Thous.tons)";18.0;25.3;24.7;15.1;34.8;36.4;57.0;78.4;73.9;110.5;109.9;114.8;83.0;90.3;134.0;117.0;124.0;116.8;132.8;155.0;131.5;177.8
"Coffee (Thous.tons)";248.1;283.7;391.6;382.0;482.0;733.9;931.1;722.2;749.4;976.2;912.7;980.9;1232.1;1060.9;1183.0;1218.0;1260.0;1735.5;1301.2;1691.1;1341.2;1780.3
"Rubber (Thous.tons)";138.1;194.5;194.2;191.0;263.0;273.4;308.1;454.8;432.3;513.4;554.1;703.6;715.6;658.7;731.0;779.0;817.5;1023.5;1074.6;1071.7;1137.6;1253.0
"Rice (Thous.tons)";1988.0;3003.0;3575.0;3730.0;4508.3;3476.7;3720.7;3236.2;3810.0;4063.1;5254.8;4642.0;4580.0;4744.9;5969.0;6893.0;7116.3;8017.1;6587.1;6331.4;6582.2;4809.3
"Shelled cashew nut (Thous.tons)";19.8;16.5;33.3;25.7;18.4;34.2;43.6;61.9;82.2;104.6;109.0;127.7;154.7;160.8;176.0;190.0;178.0;221.8;262.1;302.6;328.3;346.7
"Tea (Thous.tons)";18.8;20.8;32.9;33.0;36.0;55.7;67.9;77.0;58.6;104.3;91.7;105.4;115.7;104.7;135.0;137.0;135.0;146.9;141.2;132.4;126.9;130.9
"Shelled ground nut (Thous.tons)";115.1;127.0;86.4;86.8;56.0;76.1;78.2;106.1;82.4;46.0;54.7;14.0;37.0;14.3;..;..;..;..;..;..;..;..
"Cinamon (Thous.tons)";6.4;2.8;3.4;0.8;3.2;3.5;3.8;5.1;4.9;8.3;8.3;14.3;14.0;14.4;..;..;..;..;..;..;..;..
