"Imports of goods by group country, country and territory (*) by Group country, country and territory and Year"

"Group country, country and territory";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"Saudi Arabia";5.9;24.8;22.2;17.1;18.0;14.0;23.2;28.8;38.4;65.7;91.3;102.3;131.2;173.2;268.3;601.5;783.5;886.5;1238.8;1336.9;1105.8;1165.3
"Bahrain";..;..;0.1;0.3;1.0;5.4;10.2;6.1;6.1;8.7;8.0;13.2;11.6;12.7;5.4;6.8;23.2;11.0;14.6;12.3;7.1;..
"United Arab Emirates";14.9;2.7;4.5;5.8;11.4;8.8;10.1;28.3;53.5;54.0;69.2;44.0;110.2;132.4;189.8;223.3;384.6;303.8;326.2;466.1;521.5;450.4
"Kuwait";..;27.6;84.1;43.2;48.6;112.5;45.7;151.1;172.5;256.5;358.7;144.9;21.8;77.0;21.2;372.8;807.9;708.7;704.8;611.1;130.6;110.4
"Georgia";..;..;..;..;..;3.3;0.8;0.3;1.2;0.9;0.8;0.2;2.4;1.8;3.6;13.3;47.7;26.1;3.9;1.2;44.0;..
"Israel";1.1;6.1;5.2;12.3;17.4;7.3;14.3;16.9;21.6;34.9;36.2;41.3;82.8;76.9;115.5;124.9;205.2;158.9;204.4;570.1;1161.4;688.3
"Qatar";0.3;2.7;1.2;8.4;11.7;10.3;39.6;31.3;26.5;25.6;29.0;19.7;67.3;71.5;114.4;83.3;178.4;233.5;253.2;220.3;187.6;181.3
"Cyprus";6.2;1.7;1.4;0.7;0.6;4.6;10.5;3.2;4.2;8.6;10.7;6.9;8.1;15.8;12.4;10.7;10.8;11.2;11.1;17.7;25.3;35.6
"Turkey";5.8;16.5;36.7;3.0;4.8;2.0;8.0;15.6;24.8;31.4;43.0;28.3;41.6;111.0;141.0;107.7;80.2;90.1;96.1;129.0;147.3;171.4
"Jordan";..;..;..;0.6;1.8;0.3;3.9;3.2;13.3;4.5;6.1;20.3;6.4;7.5;2.7;3.2;4.5;3.9;9.7;20.4;13.8;..
"Poland";22.0;24.5;17.6;11.6;13.7;18.4;18.2;14.2;38.0;38.9;42.9;57.8;109.6;116.0;74.4;105.6;124.3;163.7;150.6;150.6;175.4;191.7
