"Year";"Urban";"Rural"
"Year";"Urban";"Rural"
"2006";"96.9";"92.3"
"2007";"97";"92.5"
"2008";"97";"92.2"
"2009";"97.3";"92.5"
"2010";"97";"92.3"
"2011";"97.3";"92.7"
"2012";"97.5";"93.3"
"2013";"97.6";"93.4"
"2014";"97.5";"93.3"
"2015";"97.6";"93.5"
"prel_2016";"97.7";"93.6"
