"Year";"Male";"Female"
"Year";"Male";"Female"
"2005";"26.8";"23.5"
"2006";"26.6";"23.2"
"2007";"26.6";"23.3"
"2008";"26.6";"23.1"
"2009";"26.2";"22.8"
"2010";"26.2";"22.7"
"2011";"26.4";"22.8"
"2012";"26.6";"22.8"
"2013";"26.4";"22.5"
"2014";"26.8";"22.9"
"2015";"26.9";"22.8"
"prel_2016";"27.2";"23"
