"Production of aquaculture shrimp by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"Quang Binh";124.0;116.5;94.0;121.0;136.2;177.0;227.0;408.0;1043.0;1558.0;1585.0;1661.0;2150.0;2309.0;3057.0;3310.0;4082.0;4321.0;4223.0;4948.0;4916.0;4155.0
"Quang Tri";39.0;27.6;39.4;22.0;35.6;53.0;241.0;270.0;1096.0;1225.0;1653.0;1617.0;1847.0;2103.0;3968.0;4725.0;4626.0;4165.0;4434.0;4897.0;5057.0;4409.0
"Thua Thien-Hue";99.0;149.0;173.8;258.0;365.0;649.0;1697.0;2130.0;3174.0;3443.0;3362.0;3861.0;3710.0;4056.0;4268.0;3558.0;3696.0;4174.0;4510.0;5959.0;5776.0;4600.0
"Da Nang";23.0;38.2;70.3;80.0;152.0;186.0;286.0;304.0;517.0;514.0;505.0;203.0;259.0;276.0;253.0;168.0;81.0;130.0;51.0;78.0;80.0;81.0
"Quang  Nam";282.0;373.6;276.0;424.3;632.4;1613.0;2350.0;2257.0;1710.0;3054.0;3151.0;2930.0;3305.0;5517.0;10926.0;8253.0;8647.0;12340.0;10555.0;11879.0;11902.0;12050.0
"Quang  Ngai";250.0;290.0;187.0;448.0;585.5;766.0;902.0;1050.0;903.0;1300.0;3005.0;4160.0;4950.0;5690.0;6796.0;5717.0;5354.0;5293.0;4746.0;4403.0;4205.0;4372.0
"Binh Dinh";481.0;542.0;652.0;635.0;828.3;1559.0;1682.0;1901.0;1949.0;1910.0;1709.0;2310.0;2908.0;4041.0;5147.0;5971.0;6166.0;5393.0;5357.0;5725.0;5911.0;6112.0
"Phu Yen";899.0;1133.0;1636.0;1862.0;1733.6;2586.0;2523.0;2880.0;3331.0;3382.0;2615.0;2872.0;3203.0;4123.0;6070.0;7438.0;8863.0;6859.0;8201.0;8648.0;6845.0;7361.0
"Khanh  Hoa";1923.0;2345.0;2545.0;3848.0;3808.0;6928.0;8200.0;6609.0;8072.0;5968.0;5330.0;6368.0;6478.0;7569.0;6949.0;7188.0;7857.0;7620.0;7047.0;7268.0;6518.0;5752.0
"Ninh  Thuan";600.0;699.0;750.0;1122.0;1357.5;1820.0;3858.0;3890.0;3695.0;3500.0;1995.0;3575.0;5412.0;5821.0;7112.0;7851.0;7820.0;6953.0;7956.0;8943.0;7093.0;5790.0
"Binh Thuan";320.0;398.0;320.0;1044.0;480.0;650.0;1900.0;2617.0;3320.0;2678.0;2496.0;1760.0;3423.0;4457.0;8842.0;9378.0;10197.0;9366.0;9052.0;9516.0;8474.0;7163.0
"Central Highlands";0.0;0.0;0.0;32.6;53.0;18.0;52.0;54.0;62.0;55.0;64.0;62.0;88.0;61.0;67.0;71.0;61.0;7.0;7.0;7.0;7.0;7.0
"Gia Lai";..;..;..;..;..;..;..;..;..;..;..;..;0.4;0.4;0.5;1.0;1.0;..;..;..;..;..
"Dak Lak";..;..;..;32.6;53.0;18.0;52.0;54.0;53.0;51.0;55.0;54.0;52.0;52.0;52.0;54.0;50.0;7.0;..;7.0;7.0;7.0
"Dak Nong";..;..;..;..;..;..;..;..;5.0;3.0;7.0;5.0;29.0;5.0;10.0;12.0;9.0;..;7.0;..;..;..
"Lam Dong";..;..;..;..;..;..;..;..;4.0;1.0;2.0;3.0;6.0;4.0;5.0;4.0;1.0;..;..;..;..;..
"South East";650.0;978.6;959.0;1781.0;1707.8;1786.0;4827.0;6674.0;10351.0;12772.0;14426.0;15948.0;14896.0;15207.0;15805.0;14804.0;18519.0;22833.0;24313.0;19157.0;23691.0;25263.0
"Tay Ninh";..;..;..;..;..;..;..;10.0;8.0;12.0;3.0;5.0;18.0;1.0;1.0;1.0;1.0;1.0;..;..;4.0;4.0
"Binh  Duong";..;..;..;..;..;..;..;4.0;3.0;2.0;2.0;18.0;19.0;2.0;..;..;..;..;..;..;..;..
"Dong Nai";151.0;237.8;262.0;408.0;625.0;635.0;891.0;1335.0;1564.0;1662.0;1531.0;1262.0;1956.0;4088.0;4102.0;195.0;4448.0;4731.0;4804.0;4857.0;5158.0;5122.0
"Ba Ria - Vung Tau";208.0;236.8;538.0;535.0;348.8;454.0;1027.0;1509.0;1802.0;2855.0;3702.0;3981.0;3322.0;2495.0;2951.0;3657.0;1259.0;4596.0;4833.0;..;5674.0;6148.0
"Ho Chi Minh city";291.0;504.0;159.0;838.0;734.0;697.0;2909.0;3816.0;6974.0;8241.0;9188.0;10682.0;9581.0;8621.0;8751.0;10951.0;12811.0;13505.0;14676.0;14300.0;12855.0;13989.0
"Mekong River Delta";47121.0;39652.1;38133.2;39382.1;41400.2;68995.0;118432.0;142908.0;182221.0;222643.0;265761.0;286837.0;309531.0;307070.0;318586.0;347239.0;366196.0;357822.0;441257.0;493269.0;510983.0;540477.0
"Long An";51.0;157.0;146.0;142.0;373.8;595.0;1725.0;2202.0;4264.0;4072.0;6014.0;7190.0;6968.0;5720.0;7333.0;6660.0;8912.0;10179.0;11809.0;12717.0;12061.0;10513.0
"Tien Giang";350.0;738.0;676.0;805.0;1115.0;1174.0;1405.0;2576.0;4322.0;6297.0;7998.0;8273.0;9381.0;10118.0;11058.0;12833.0;14479.0;15595.0;17295.0;19600.0;20599.0;22862.0
"Ben Tre";5300.0;5446.0;5580.0;4603.0;5167.4;5827.0;8024.0;11454.0;13698.0;19398.0;25090.0;23446.0;25362.0;22841.0;20338.0;29208.0;38251.0;35796.0;53589.0;55946.0;47180.0;46519.0
"Tra Vinh";3909.0;4550.0;2150.0;3500.0;4590.0;2310.0;4391.0;4928.0;9574.0;12884.0;19688.0;24142.0;24814.0;19789.0;17442.0;20944.0;24678.0;11256.0;20592.0;35465.0;35430.0;37304.0
"Vinh Long";57.0;58.2;57.2;60.1;61.2;64.0;71.0;76.0;52.0;44.0;47.0;34.0;27.0;27.0;24.0;16.0;12.0;13.0;11.0;10.0;10.0;9.0
"Dong Thap";48.0;33.9;105.0;127.0;145.0;316.0;396.0;634.0;645.0;221.0;103.0;402.0;953.0;1504.0;1737.0;1727.0;1889.0;1900.0;1541.0;1822.0;1399.0;1430.0
"An Giang";639.0;2.0;..;3.0;2.8;5.0;178.0;305.0;459.0;651.0;698.0;815.0;1060.0;1297.0;1045.0;916.0;774.0;697.0;333.0;266.0;333.0;193.0
"Kien  Giang";1861.0;1061.0;918.0;1122.0;1062.0;1764.0;4800.0;6675.0;10183.0;15228.0;18461.0;22847.0;28350.0;28601.0;31207.0;34765.0;39668.0;40292.0;41978.0;51430.0;52210.0;56825.0
"Can Tho";142.0;117.0;113.0;117.0;17.0;17.0;65.0;67.0;78.0;100.0;75.0;124.0;206.0;81.0;35.0;22.0;25.0;22.0;20.0;19.0;19.0;25.0
"Hau Giang";..;..;..;..;..;..;..;..;24.0;45.0;34.0;25.0;27.0;27.0;19.0;9.0;3.0;3.0;4.0;5.0;5.0;33.0
"Soc Trang";3534.0;3444.0;3468.0;5109.0;3210.0;11143.0;13700.0;15980.0;21211.0;27424.0;42837.0;52696.0;58495.0;58790.0;60548.0;60830.0;47753.0;40529.0;68514.0;82197.0;90664.0;111240.0
"Bac Lieu";7214.0;5720.0;5985.0;6977.0;5936.0;10403.0;28347.0;37392.0;55268.0;68342.0;63616.0;58400.0;64151.0;63984.0;68200.0;70462.0;72400.0;77107.0;84957.0;93825.0;104532.0;108343.0
"Ca Mau";24016.0;18325.0;18935.0;16817.0;19720.0;35377.0;55330.0;60619.0;62443.0;67936.0;81100.0;88443.0;89737.0;94291.0;99600.0;108847.0;117352.0;124433.0;140614.0;139967.0;146541.0;145181.0
