"Planted  area of sweet potatoes by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"Ha Tinh";19.6;18.7;17.1;18.0;19.7;19.7;17.3;16.0;16.3;15.5;14.8;14.1;13.9;12.8;10.1;9.4;7.9;6.7;6.7;5.9;5.6;4.7
"Quang Binh";8.5;7.5;6.7;5.8;7.1;6.1;6.1;5.0;4.4;4.8;4.3;4.0;4.1;4.2;4.0;4.1;4.1;4.0;3.9;3.7;3.7;3.7
"Quang Tri";5.5;5.6;5.1;4.7;4.7;4.9;4.4;4.2;3.9;3.8;3.9;3.8;3.7;3.4;3.3;3.2;2.9;2.9;2.7;2.6;2.4;2.4
"Thua Thien-Hue";7.7;7.0;6.7;6.2;6.0;4.4;5.3;5.1;4.9;4.9;4.7;4.6;4.7;4.3;4.2;4.3;4.1;4.1;3.8;3.4;3.2;3.0
"Da Nang";4.4;4.4;3.4;2.1;1.8;1.4;1.5;1.5;1.3;0.9;0.4;0.7;0.5;0.5;0.5;0.5;0.4;0.3;0.3;0.3;0.3;0.3
"Quang  Nam";14.9;14.7;11.5;12.2;11.2;11.1;10.8;10.1;9.7;9.1;9.2;8.8;8.1;7.2;6.6;6.7;5.5;5.3;4.9;4.4;4.3;4.0
"Quang  Ngai";7.7;5.9;5.3;4.6;4.3;3.9;3.1;2.5;1.9;1.2;1.2;1.1;1.0;0.9;0.7;0.7;0.6;0.7;0.6;0.4;0.4;0.3
"Binh Dinh";1.2;1.5;1.3;1.3;1.1;1.2;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.3
"Phu Yen";1.1;0.8;0.9;0.8;0.8;0.7;0.6;0.5;0.4;0.3;0.3;0.3;0.3;0.2;0.3;0.3;0.3;0.3;0.3;0.2;0.2;0.1
"Khanh  Hoa";0.1;0.2;0.3;0.3;0.3;0.2;0.2;0.3;0.3;0.2;0.2;0.2;0.1;0.1;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
"Ninh  Thuan";0.2;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.4;0.2;0.2;0.2;0.2;0.1;0.1;0.1
"Binh Thuan";6.7;6.3;5.6;4.5;4.2;3.7;3.7;3.5;3.4;3.1;2.5;1.6;1.2;1.1;1.1;1.1;1.1;1.0;1.0;0.9;0.8;0.5
"Central Highlands";11.9;11.3;11.0;9.9;9.4;9.3;8.4;9.9;10.1;10.1;10.4;12.3;12.3;13.0;14.0;14.1;14.1;14.0;13.9;13.7;14.5;15.6
"Kon Tum";0.4;0.4;0.3;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.1;0.1;0.1;0.1;0.1;0.2
"Gia Lai";3.7;4.1;3.9;3.2;3.0;2.6;2.6;2.7;2.4;2.0;1.8;1.5;1.5;1.5;1.6;1.7;1.4;1.5;1.3;1.9;1.7;1.9
"Dak Lak";4.9;4.0;3.9;3.7;3.5;3.6;3.1;4.0;4.4;3.5;3.0;3.1;3.6;3.6;3.7;3.4;3.2;3.3;3.0;2.8;3.2;3.8
"Dak Nong";..;..;..;..;..;..;..;..;..;1.2;2.4;4.5;4.1;4.8;6.0;6.6;7.1;7.1;7.9;7.4;8.1;8.1
"Lam Dong";2.9;2.8;2.9;2.7;2.6;2.9;2.5;3.0;3.1;3.2;3.0;3.0;2.9;2.9;2.5;2.2;2.3;2.0;1.6;1.5;1.4;1.6
"South East";4.0;2.7;3.7;3.5;3.7;3.9;4.6;2.9;2.7;2.7;2.4;2.0;2.0;2.1;2.1;2.0;1.9;1.4;1.3;1.0;1.2;1.3
"Binh Phuoc";0.7;0.8;0.9;0.8;0.9;0.7;0.8;0.9;0.9;1.0;1.0;1.1;0.9;0.7;0.9;0.8;0.7;0.5;0.5;0.4;0.4;0.3
"Tay Ninh";..;..;..;..;..;..;1.6;..;0.2;0.2;0.2;0.1;0.2;0.6;0.4;0.4;0.5;0.3;0.2;0.0;0.0;0.0
"Binh  Duong";0.6;0.7;0.6;0.6;0.6;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.2;0.3;0.2;0.3;0.2;0.2;0.2;0.2;0.2;0.2
"Dong Nai";1.0;..;1.2;1.2;1.3;0.9;0.8;0.7;0.5;0.4;0.3;0.2;0.3;0.3;0.5;0.4;0.3;0.3;0.3;0.3;0.3;0.5
"Ba Ria - Vung Tau";1.4;1.0;0.8;0.8;0.8;1.3;0.6;0.6;0.5;0.6;0.5;0.3;0.3;0.2;0.1;0.1;0.2;0.1;0.1;0.1;0.3;0.3
"Ho Chi Minh city";0.3;0.2;0.2;0.1;0.1;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.0;..;..;..;..;..
"Mekong River Delta";11.5;12.3;10.6;10.5;10.7;9.9;10.1;12.5;10.7;12.1;12.1;13.4;13.8;12.7;14.2;14.9;17.9;22.4;19.8;23.1;21.4;20.0
"Long An";0.0;0.1;0.0;0.1;0.1;0.0;..;0.0;0.1;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.1;0.0;0.0;0.1;0.2
"Tien Giang";0.9;0.9;0.7;0.7;0.5;0.5;0.4;0.4;0.4;0.3;0.3;0.1;0.3;0.3;0.3;0.3;0.3;0.4;0.3;0.3;0.4;0.4
"Ben Tre";1.3;0.6;0.5;0.4;0.7;0.4;0.6;0.8;0.5;0.2;0.3;0.2;0.2;0.2;0.3;0.2;0.1;0.1;0.1;0.1;0.1;0.1
"Tra Vinh";1.8;2.1;2.4;2.1;1.9;1.8;1.7;2.1;1.6;1.8;1.9;2.3;1.9;1.8;2.1;1.8;1.8;1.8;1.6;1.5;1.4;1.3
"Vinh Long";1.9;2.1;2.2;2.4;2.5;2.5;2.8;4.2;3.8;4.9;5.2;6.0;6.1;5.0;5.1;5.8;8.5;11.8;10.1;11.9;11.3;10.9
"Dong Thap";1.0;1.4;0.8;0.8;0.6;0.3;0.2;0.4;0.4;0.5;0.4;0.7;0.7;0.5;1.2;1.0;1.7;2.4;2.9;4.5;3.6;2.7
"An Giang";0.2;0.2;0.1;0.3;0.4;0.4;0.2;0.4;0.4;0.3;0.3;0.4;0.2;0.2;0.1;0.2;0.3;0.3;0.3;0.7;0.2;0.3
"Kien  Giang";1.0;1.5;1.2;1.0;1.1;0.9;1.6;1.9;0.9;1.1;0.6;0.4;1.0;0.8;1.0;1.5;0.8;1.0;1.3;1.1;1.5;1.5
"Can Tho";1.3;1.2;0.6;1.0;0.6;0.5;0.6;0.3;0.4;0.1;0.0;0.1;0.1;0.1;0.0;0.0;0.2;0.9;0.1;0.0;0.0;0.0
"Hau Giang";..;..;..;..;..;..;..;..;..;0.5;0.7;0.8;0.8;0.9;0.7;0.6;0.5;0.4;0.4;0.2;0.2;0.2
"Soc Trang";1.4;1.7;1.3;1.2;1.3;1.5;1.2;1.2;1.3;1.4;1.4;1.5;1.6;2.0;2.5;2.6;2.7;2.4;2.1;2.0;1.9;1.7
"Bac Lieu";0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.4;0.3;0.5;0.5;0.6;0.6;0.6;0.6;0.6;0.6;0.4;0.6;0.5;0.5
"Ca Mau";0.4;0.3;0.6;0.3;0.8;0.9;0.6;0.5;0.5;0.5;0.4;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
