"Production of fishery caught by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Pre. 2016"
"Hoa Binh";576.0;274.0;355.0;285.0;334.0;346.0;432.0;483.0;534.0;549.0;585.0;697.0;841.0;867.0;1037.0;1193.0;1254.0;1329.0;1400.0;1429.0;1483.0;1545.0
"Northern Central area and Central coastal area";424613.0;433558.0;475474.9;477535.0;545940.0;579670.0;600385.0;647147.0;679097.0;720509.0;757142.0;772841.0;803447.0;830247.0;881222.0;911165.0;977674.0;1048772.0;1109147.0;1173833.0;1239264.0;1263232.0
"Thanh Hoa";25690.0;20467.9;26098.0;28818.0;32299.0;36520.0;39110.0;42322.0;47182.0;51068.0;54401.0;57811.0;60779.0;65825.0;70213.0;75412.0;77357.0;80124.0;83757.0;87273.0;92168.0;97308.0
"Nghe An";21000.0;21705.0;24248.5;24894.0;27293.0;30294.0;32093.0;36909.0;39079.0;41362.0;44503.0;45785.0;50835.0;54855.0;59285.0;64268.0;66533.0;76262.0;90069.0;97608.0;105366.0;108239.0
"Ha Tinh";15401.0;14503.0;15417.0;15197.0;17090.0;20924.0;21170.0;21099.0;20634.0;21050.0;20119.0;20508.0;21318.0;22236.0;24603.0;26121.0;27404.0;29629.0;30775.0;31648.0;35392.0;26166.0
"Quang Binh";12296.0;13469.9;13653.2;13301.0;15132.0;18498.0;19896.0;21711.0;23879.0;25135.0;26152.0;28669.0;31083.0;33694.0;36933.0;37105.0;42832.0;47230.0;50160.0;53323.0;57009.0;50203.0
"Quang Tri";7005.0;10137.9;9819.7;8831.0;9613.0;11999.0;12055.0;13022.0;13685.0;14573.0;14871.0;15914.0;16168.0;16447.0;16906.0;12169.0;17159.0;17730.0;19284.0;22296.0;25432.0;15724.0
"Thua Thien-Hue";11717.0;12517.0;14680.3;15236.0;16241.0;18529.0;17963.0;18673.0;19422.0;20347.0;22164.0;24070.0;25086.0;26526.0;28573.0;25817.0;32443.0;33659.0;34384.0;35887.0;38297.0;31393.0
"Da Nang";18641.0;19012.0;20517.2;23484.0;25935.0;27331.0;30856.0;33248.0;34852.0;36801.0;40019.0;37672.0;39447.0;36514.0;34943.0;35810.0;33776.0;32848.0;32287.0;32347.0;34174.0;33618.0
"Quang  Nam";23727.0;25250.0;29500.0;31663.0;34215.0;37050.0;39719.0;42955.0;45120.0;45962.0;48015.0;48996.0;50556.0;51643.0;54836.0;49484.0;62638.0;63479.0;66322.0;72118.0;77766.0;82425.0
"Quang  Ngai";38235.0;39840.0;46661.0;50877.0;59459.0;64221.0;63023.0;78082.0;79010.0;83545.0;87408.0;88217.0;88650.0;89930.0;92299.0;98453.0;113311.0;125839.0;140043.0;150586.0;156897.0;171093.0
"Binh Dinh";58659.0;62249.3;59858.0;64645.0;69115.0;75406.0;82037.0;85935.0;92067.0;97852.0;107196.0;105777.0;112778.0;118848.0;129608.0;141655.0;152109.0;166974.0;179065.0;190366.0;200370.0;210011.0
"Phu Yen";21000.0;22800.0;27094.0;24660.0;26701.0;27710.0;28246.0;30000.0;31565.0;34045.0;35432.0;35577.0;36423.0;37141.0;38520.0;42215.0;45281.0;50891.0;49904.0;49000.0;54000.0;56994.0
"Khanh  Hoa";56500.0;47629.0;49550.0;50156.0;52702.0;54087.0;56647.0;60972.0;61886.0;59702.0;63121.0;65266.0;67054.0;68637.0;74356.0;75242.0;75178.0;80160.0;82300.0;85257.0;89194.0;93049.0
"Ninh  Thuan";19500.0;22521.0;28140.0;24550.0;30100.0;28650.0;29105.0;30500.0;32200.0;36200.0;44800.0;46500.0;48000.0;49500.0;50725.0;54550.0;56076.0;63685.0;64153.0;70439.0;75572.0;83007.0
"Binh Thuan";95242.0;101456.0;110238.0;101223.0;130045.0;128451.0;128465.0;131719.0;138516.0;152867.0;148941.0;152079.0;155270.0;158451.0;169422.0;172864.0;175576.0;180263.0;186646.0;195684.0;197627.0;204002.0
"Central Highlands";4482.0;2453.8;2366.8;2208.0;2619.0;2957.0;2338.0;2779.0;2733.0;2994.0;3237.0;3199.0;3438.0;3412.0;3906.0;3883.0;3960.0;4215.0;4595.0;5046.0;4733.0;4966.0
"Kon Tum";34.0;12.7;35.1;22.0;19.0;196.0;313.0;314.0;326.0;359.0;388.0;399.0;438.0;465.0;866.0;890.0;791.0;794.0;914.0;1042.0;1250.0;1453.0
"Gia Lai";8.0;105.1;102.7;112.0;118.0;122.0;130.0;133.0;172.0;191.0;254.0;311.0;355.0;423.0;508.0;572.0;784.0;890.0;1034.0;1268.0;641.0;670.0
"Dak Lak";1802.0;1693.0;1746.5;1656.0;1945.0;2003.0;1367.0;1801.0;1502.0;1669.0;1589.0;1587.0;1543.0;1544.0;1565.0;1563.0;1557.0;1464.0;1536.0;1576.0;1568.0;1563.0
"Dak Nong";..;..;..;..;..;..;..;..;201.0;344.0;569.0;415.0;597.0;396.0;479.0;427.0;413.0;520.0;491.0;530.0;650.0;670.0
"Lam Dong";2638.0;643.0;482.5;418.0;537.0;636.0;528.0;531.0;532.0;432.0;437.0;487.0;505.0;585.0;488.0;431.0;415.0;548.0;621.0;629.0;624.0;610.0
"South East";129928.0;135066.2;126329.7;129955.0;141883.0;157830.0;169393.0;185912.0;197938.0;220668.0;232628.0;239906.0;245010.0;253665.0;271094.0;278766.0;277472.0;304091.0;282301.0;298934.0;317323.0;341018.0
"Binh Phuoc";958.0;755.0;456.6;316.0;349.0;417.0;411.0;341.0;329.0;317.0;355.0;397.0;488.0;559.0;583.0;412.0;327.0;377.0;399.0;402.0;503.0;347.0
"Tay Ninh";614.0;2125.4;1900.0;1810.0;2070.0;2544.0;2645.0;2713.0;2744.0;2734.0;3230.0;3361.0;3455.0;2991.0;2991.0;3060.0;3131.0;3207.0;3238.0;3421.0;3482.0;3452.0
"Binh  Duong";139.0;152.0;195.0;198.0;202.0;211.0;219.0;230.0;242.0;408.0;467.0;516.0;534.0;343.7;295.0;280.0;264.0;265.0;268.0;274.0;274.0;243.0
"Dong Nai";5890.0;4500.0;4858.0;5373.0;4158.0;3359.0;3253.0;3298.0;3240.0;3348.0;3122.0;3243.0;3111.0;2661.0;2847.0;3482.0;4367.0;5443.0;5939.0;6455.0;6684.0;6747.0
"Ba Ria - Vung Tau";96207.0;104427.8;96673.1;102033.0;111089.0;128681.0;137253.0;160127.0;165707.0;190540.0;203981.0;211043.0;220322.0;232706.0;246941.0;250335.0;247618.0;272987.0;250725.0;269577.0;284690.0;310301.0
"Ho Chi Minh city";26120.0;23106.0;22247.0;20225.0;24015.0;22618.0;25612.0;19203.0;25676.0;23321.0;21473.0;21346.0;17100.0;14404.0;17437.0;21197.0;21765.0;21811.0;21733.0;18805.0;21690.0;19928.0
"Mekong River Delta";552240.0;603699.1;624244.7;651596.0;728902.0;803919.0;829313.0;835677.0;833990.0;848759.0;843017.0;854968.0;858964.0;863289.0;925543.0;1012558.0;1040759.0;1129101.0;1180792.0;1201482.0;1232171.0;1286069.0
"Long An";14595.0;13393.0;14060.0;14000.0;12648.0;11612.0;12843.0;14387.0;11011.0;10777.0;8823.0;10198.0;10031.0;11331.0;10678.0;11063.0;13068.0;13627.0;13204.0;14037.0;12362.0;12625.0
"Tien Giang";44389.0;45917.0;44643.0;53400.0;62339.0;69161.0;68405.0;70139.0;71115.0;71235.0;74946.0;75155.0;75637.0;75789.0;79269.0;80722.0;85360.0;84826.0;92250.0;93032.0;97777.0;95193.0
"Ben Tre";52195.0;48552.1;49980.0;56549.0;60395.0;66025.0;66545.0;63644.0;62950.0;71751.0;74039.0;75699.0;76226.0;81389.0;86966.0;120914.0;132073.0;156864.0;162975.0;160006.0;175750.0;188595.0
"Tra Vinh";43535.0;43340.0;39680.0;42700.0;46864.0;65072.0;65468.0;65357.0;63896.0;68255.0;65477.0;58008.0;58385.0;60821.0;58200.0;73963.0;76136.0;75020.0;74383.0;79960.0;75444.0;68838.0
"Vinh Long";9632.0;9895.0;10117.7;10040.0;9795.0;10138.0;10555.0;9290.0;8901.0;8389.0;8161.0;8048.0;7937.0;7853.0;7768.0;7676.0;7659.0;7481.0;6761.0;6722.0;6488.0;6465.0
"Dong Thap";16194.0;28292.0;26705.0;20506.0;21367.0;23871.0;24417.0;28542.0;21901.0;15906.0;18486.0;21756.0;16031.0;16428.0;16310.0;15205.0;15256.0;14316.0;15322.0;16636.0;16607.0;16577.0
"An Giang";68047.0;72004.0;74300.0;64168.0;72023.0;91268.0;96570.0;79263.0;67473.0;58062.0;51330.0;53403.0;51851.0;40650.0;40131.0;37209.0;40183.0;38486.0;33700.0;34689.0;21513.0;21212.0
"Kien  Giang";170000.0;190765.0;196535.0;209948.0;218500.0;239218.0;256199.0;271255.0;286000.0;295500.0;305565.0;311618.0;315157.0;318255.0;352147.0;342257.0;356952.0;418929.0;454150.0;455505.0;463370.0;485994.0
"Can Tho";11077.0;10813.0;11837.0;9883.0;11316.0;11791.0;12837.0;11831.0;7107.0;6670.0;6454.0;6310.0;6223.0;6121.0;6053.0;5936.0;6393.0;6158.0;6029.0;6141.0;6086.0;5926.0
"Hau Giang";..;..;..;..;..;..;..;..;4255.0;4317.0;4294.0;3966.0;3670.0;3204.0;3143.0;3049.0;2976.0;2952.0;2909.0;2651.0;2595.0;2555.0
"Soc Trang";26146.0;29775.0;31434.0;34009.0;36600.0;34067.0;33200.0;32698.0;32570.0;31395.0;29235.0;31870.0;31370.0;31316.0;37128.0;43450.0;53250.0;56084.0;56584.0;58383.0;62700.0;65813.0
"Bac Lieu";24792.0;30298.0;39832.0;46238.0;52368.0;56999.0;55220.0;67958.0;65798.0;68493.0;62034.0;61250.0;68776.0;75421.0;82000.0;102263.0;98500.0;99578.0;100449.0;100352.0;106916.0;107276.0
"Ca Mau";71638.0;80655.0;85121.0;90155.0;124687.0;124697.0;127054.0;121313.0;131013.0;138009.0;134173.0;137687.0;137670.0;134713.0;145750.0;168851.0;152953.0;154780.0;162075.0;173368.0;184563.0;209000.0
