"Production of fishery by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"Lai Chau";355.0;452.9;459.8;486.0;507.0;527.0;603.0;640.0;297.0;638.0;744.0;860.0;1003.0;1113.0;1137.0;1167.0;1246.0;1514.0;1590.0;1684.0;1921.0;2063.0
"Son La";1649.0;3159.0;3292.5;1826.0;2089.0;2181.0;2335.0;2942.0;3065.0;3205.0;3326.0;4021.0;4915.0;4666.0;4945.0;5253.0;5565.0;5989.0;6356.0;6548.0;6557.0;6567.0
"Hoa Binh";1176.0;1123.0;1211.0;1273.0;1310.0;1291.0;1734.0;2048.0;2334.0;2513.0;2818.0;3269.0;3481.0;3594.0;4106.0;4542.0;4738.0;5037.0;5321.0;5583.0;5760.0;6000.0
"Northern Central area and Central coastal area";448087.0;459636.6;507281.6;513422.0;583041.0;627811.0;659708.0;713526.0;763907.0;814079.0;871597.0;894402.0;944740.0;985563.0;1055629.0;1086137.0;1167646.0;1241642.0;1316240.0;1398177.0;1463965.0;1487034.0
"Thanh Hoa";32048.0;26812.0;36868.0;39491.0;43786.0;48968.0;52340.0;57723.0;63896.0;68495.0;73544.0;79217.0;83909.0;91699.0;98075.0;102878.0;108794.0;115885.0;123902.0;133048.0;141405.0;147640.0
"Nghe An";26700.0;27597.7;31364.3;32397.0;34693.0;38628.0;42237.0;48261.0;57457.0;61133.0;66604.0;70894.0;79466.0;86168.0;94120.0;98321.0;105814.0;116519.0;130788.0;142674.0;150041.0;155360.0
"Ha Tinh";17078.0;16700.0;17014.0;16826.0;19315.0;24044.0;24949.0;25842.0;27870.0;28736.0;29688.0;30556.0;31361.0;32838.0;35596.0;36120.0;37728.0;34403.0;42724.0;44338.0;48693.0;38649.0
"Quang Binh";13076.0;14593.5;14768.6;14491.0;16620.0;20493.0;22250.0;24369.0;27557.0;29361.0;31113.0;34151.0;37389.0;41278.0;45302.0;45548.0;51964.0;57038.0;60210.0;64539.0;68950.0;61804.0
"Quang Tri";7622.0;10860.5;10590.5;9390.0;10198.0;12744.0;13266.0;14444.0;15995.0;17575.0;18308.0;19620.0;20709.0;21551.0;23734.0;19938.0;24962.0;25297.0;27159.0;30620.0;33896.0;23795.0
"Thua Thien-Hue";12186.0;13405.0;15444.4;16279.0;17325.0;19996.0;20514.0;21915.0;24423.0;25994.0;28460.0;31807.0;33421.0;35777.0;38499.0;35209.0;43183.0;45724.0;47593.0;50797.0;53440.0;45405.0
"Da Nang";18920.0;19333.6;20907.4;23811.0;26254.0;27976.0;31593.0;33980.0;35798.0;37838.0;40557.0;38426.0;40378.0;37493.0;35916.0;36723.0;34463.0;33579.0;33031.0;33135.0;34981.0;34424.0
"Quang  Nam";25333.0;26838.0;30921.0;33139.0;35983.0;39871.0;43350.0;46629.0;48175.0;50533.0;53296.0;55578.0;59642.0;63841.0;71648.0;63249.0;77455.0;82319.0;83622.0;90984.0;97266.0;102475.0
"Quang  Ngai";38500.0;40150.0;46889.0;51341.0;60065.0;64989.0;64061.0;79408.0;80278.0;85645.0;91223.0;93279.0;94550.0;96750.0;100264.0;105391.0;119938.0;132526.0;146350.0;156373.0;162929.0;177437.0
"Binh Dinh";59822.0;63513.3;61357.0;66185.0;70912.0;77825.0;84564.0;88812.0;95095.0;101095.0;110390.0;109981.0;117761.0;125156.0;137466.0;150398.0;161303.0;175397.0;187857.0;199811.0;210102.0;219980.0
"Phu Yen";21928.0;24004.0;28831.4;26601.0;28555.0;30415.0;30907.0;33022.0;35058.0;37939.0;38607.0;39162.0;40430.0;42404.0;45433.0;50736.0;55254.0;58946.0;60251.0;59627.0;63392.0;67042.0
"Khanh  Hoa";59087.0;50375.0;52375.0;54904.0;56584.0;61165.0;65054.0;68100.0;70547.0;68265.0;80581.0;79147.0;82982.0;83707.0;86568.0;88928.0;89088.0;93943.0;96051.0;99455.0;102913.0;106117.0
"Ninh  Thuan";20175.0;23450.0;29015.0;26300.0;31486.0;30548.0;33153.0;35845.0;37529.0;43752.0;55993.0;55250.0;61003.0;61060.0;60641.0;65306.0;66829.0;75461.0;76510.0;83630.0;85686.0;91165.0
"Binh Thuan";95612.0;102004.0;110936.0;102267.0;131265.0;130149.0;131470.0;135176.0;144229.0;157718.0;153233.0;157334.0;161739.0;165841.0;182367.0;187392.0;190871.0;194605.0;200193.0;209146.0;210271.0;215741.0
