"Production of aquaculture fish by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Prel. 2016"
"Son La";1050.0;1595.0;1588.5;1476.0;1578.0;1638.0;1713.0;2248.0;2381.0;2412.0;2555.0;3213.0;4109.0;3968.0;4252.0;4539.0;4823.0;5048.0;5177.0;5321.0;5309.0;5298.0
"Hoa Binh";600.0;847.0;850.0;986.0;972.7;931.0;1290.0;1522.0;1750.0;1909.0;2150.0;2472.0;2535.0;2616.0;2961.0;3233.0;3365.0;3585.0;3794.0;4001.0;4142.0;4311.0
"Northern Central area and Central coastal area";14478.0;17773.1;18499.5;18716.0;20192.0;24149.0;26333.0;30353.0;42246.0;46755.0;52330.0;61932.0;71076.0;77664.0;83306.0;85520.0;92574.0;91558.0;102150.0;105616.0;112233.0;114871.0
"Thanh Hoa";6178.0;5721.9;5196.0;5568.0;5820.0;7472.0;7540.0;9450.0;10135.0;11092.0;12716.0;14158.0;15218.0;17069.0;18508.0;19646.0;20864.0;21767.0;23895.0;23895.0;27754.0;28347.0
"Nghe An";3250.0;5739.0;7063.3;7373.0;7332.0;8185.0;8800.0;9952.0;16523.0;17880.0;19827.0;22103.0;25021.0;27313.0;29369.0;28450.0;31980.0;34026.0;33627.0;36226.0;36941.0;37886.0
"Ha Tinh";976.0;1468.0;1229.0;1367.0;1701.0;2097.0;2542.0;2752.0;4821.0;4493.0;4800.0;5588.0;5624.0;5806.0;6518.0;6156.0;6045.0;138.0;7026.0;7305.0;7459.0;7331.0
"Quang Binh";554.0;920.2;909.4;980.0;1242.0;1422.0;1798.0;2042.0;2506.0;2511.0;3136.0;3572.0;3819.0;4939.0;4933.0;4781.0;4685.0;5123.0;5454.0;5884.0;6612.0;7061.0
"Quang Tri";551.0;695.0;731.4;537.0;547.0;690.0;968.0;1151.0;1214.0;1776.0;1784.0;2061.0;2687.0;2998.0;2857.0;3039.0;3167.0;3362.0;3399.0;3411.0;3391.0;3643.0
"Thua Thien-Hue";211.0;445.0;518.1;584.0;515.0;657.0;764.0;888.0;1545.0;1913.0;2621.0;3189.0;3809.0;4312.0;4906.0;5344.0;6061.0;6948.0;7763.0;8042.0;8440.0;8427.0
"Da Nang";241.0;268.0;300.9;247.0;167.0;459.0;450.0;428.0;429.0;523.0;536.0;551.0;672.0;703.0;720.0;745.0;606.0;601.0;693.0;710.0;727.0;725.0
"Quang  Nam";1339.0;1174.0;1101.0;951.0;1027.0;1088.0;1159.0;1281.0;1318.0;1437.0;1973.0;3508.0;5550.0;6129.0;5346.0;4852.0;5640.0;5769.0;5980.0;6198.0;6622.0;6941.0
