"Volume of freight carried by the waterway by province  (*) by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Dak Lak";28.00;20.00;10.00;5.00;5.00;4.00;7.00;11.00;15.00;20.00;25.00;21.20;24.00;37.00;33.00;34.40
"Lam Dong";9.00;9.00;9.20;9.00;10.50;15.60;23.40;8.70;10.00;11.00;10.20;12.10;..;..;..;..
"South East";4283.76;4742.83;5367.00;14105.00;14563.00;16428.00;18047.40;22027.30;23820.00;24646.40;29055.50;31685.40;32563.80;25831.10;28091.30;28502.40
"Tay Ninh";136.00;109.00;134.00;168.00;169.00;59.00;96.00;95.10;174.00;126.00;111.00;116.90;82.70;75.40;76.70;88.40
"Binh  Duong";95.00;130.00;142.00;188.00;257.00;299.00;295.00;279.00;272.00;334.00;361.40;426.20;304.10;298.90;311.00;361.40
"Dong Nai";150.00;150.00;150.00;189.00;277.00;418.00;442.00;323.70;640.00;1259.00;1072.70;962.60;985.70;989.50;1025.00;1283.70
"Ba Ria - Vung Tau";738.00;746.00;792.00;836.00;1552.00;2068.00;2293.00;2435.00;3364.00;504.00;515.40;538.70;542.50;637.00;684.10;773.00
"Ho Chi Minh city";3164.76;3607.83;4149.00;12724.00;12308.00;13584.00;14921.40;18894.50;19370.00;22423.40;26995.00;29641.00;30648.80;23830.30;25994.50;25995.90
"Mekong River Delta";17973.67;19071.00;24524.80;26711.00;30825.00;40951.70;44620.40;42780.00;49790.50;56222.90;58507.60;60511.20;68385.50;71399.50;73626.70;80071.30
"Long An";4576.00;4645.00;5223.00;5362.00;5246.00;3926.00;4314.00;8060.40;8798.00;10738.00;10878.60;11041.80;10642.10;10863.80;10961.60;12086.20
"Tien Giang";1386.00;1562.00;1768.00;2109.00;3019.00;3493.00;3375.00;4384.80;5263.00;6475.00;7021.80;7658.80;8466.80;8816.70;9208.50;9352.80
"Ben Tre";876.00;992.00;1194.00;1095.00;1163.00;1531.00;1593.00;1758.90;1785.40;1778.00;1770.60;1735.20;3354.60;3046.70;3344.40;3590.30
"Tra Vinh";407.00;625.00;998.00;1249.00;2711.00;3453.90;3556.40;3256.70;2344.00;1384.30;1517.90;1718.90;1709.00;1881.90;1991.10;2416.30
"Vinh Long";1715.00;1759.00;1800.00;1879.00;2088.00;2342.80;2636.00;2730.00;3031.00;3622.00;3799.60;4298.20;4309.80;4257.00;4353.40;4327.20
"Dong Thap";1509.00;1526.00;1556.00;1576.00;1695.00;1408.00;1440.00;1995.00;1745.00;2015.00;1910.00;2088.20;2149.80;2647.40;2649.60;2626.60
"An Giang";2217.00;2384.00;2842.00;3492.00;3665.00;11734.00;12791.00;5953.00;12550.10;13745.00;14466.50;14035.00;18167.00;18985.00;19497.60;21040.90
"Kien  Giang";1201.00;1334.00;1520.80;2100.00;2464.00;2599.00;2966.00;2965.50;3388.00;3706.50;4091.00;4334.00;5009.00;5583.00;5689.20;6504.00
"Can Tho";1612.00;1655.00;4624.00;1843.00;2272.00;4045.00;4783.00;4918.00;4298.00;5043.00;4576.50;4228.70;4044.00;3506.00;3689.20;4717.60
"Hau Giang";..;..;..;2812.00;2928.00;2978.00;3218.00;3477.90;3676.00;4048.00;4466.40;5013.00;5427.60;6091.00;6514.80;6893.20
"Soc Trang";1635.00;1664.00;1738.00;1823.00;1909.00;2010.00;2119.00;1500.00;2222.00;1280.00;1401.60;1544.60;1876.60;2144.60;2189.00;2410.10
"Bac Lieu";386.67;464.00;651.00;785.00;928.00;950.00;1262.00;1388.00;351.00;1893.00;2122.10;2392.00;2786.00;3116.40;3128.00;3560.00
"Ca Mau";453.00;461.00;610.00;586.00;737.00;481.00;567.00;391.80;339.00;495.10;485.00;422.80;443.20;460.00;410.30;546.10
