"Investment at constant 2010 prices by investment items chia theo Items và Year"

"Items";"2010";"2013";"2014";"2015";"Prel. 2016"
"TOTAL";830278;872124;957630;1044420;1145009
"Investment outlays";591158;641011;701368;762202;826139
"Fixed assets procurement capital for production";139487;150878;172469;184862;213638
"Capital for fixed assets repair and upgrading";48156;43606;52287;54534;60004
"Supplement for working capital from owned capital";30720;22675;19727;24022;28053
"Others";20757;13954;11779;18800;17175
